"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > WIMD 2011 > Welsh Index of Multiple Deprivation 2011 by rank and local super output area"
""
"","","WIMD (1)","Income (2)","Employment (3)","Health (4)","Education (5)","Access to Services (6)","Community Safety (7)","Physical Environment (8)","Housing (9)"
"Isle of Anglesey ","",".",".",".",".",".",".",".",".","."
"Isle of Anglesey ","W01000001: Aberffraw & Rhosneigr 1 ",731,835,708,862,991,239,695,1735,349
"","W01000002: Aberffraw & Rhosneigr 2 ",852,918,708,1185,1063,286,1129,1585,276
"","W01000003: Amlwch Port ",527,537,522,681,608,305,798,1515,366
"","W01000004: Amlwch Rural ",768,803,585,1209,1183,201,1216,1808,287
"","W01000005: Beaumaris ",1032,945,1022,1427,923,737,746,1036,243
"","W01000006: Bodffordd ",917,1172,941,849,1052,218,1284,1671,279
"","W01000007: Bodorgan ",870,1012,941,890,1220,184,1575,1083,224
"","W01000008: Braint ",1811,1527,1560,1698,1599,1223,1506,1624,1235
"","W01000009: Bryngwran ",486,485,400,505,951,259,1012,1465,347
"","W01000010: Brynteg ",1500,1300,1447,1527,1179,413,1617,1721,1031
"","W01000011: Cadnant (Isle of Anglesey) ",1602,1189,1327,1671,1481,1672,776,1566,498
"","W01000012: Cefni ",1649,1363,1221,1630,1613,1032,1242,1331,1344
"","W01000013: Cwm Cadnant ",1651,1595,1673,1582,1683,341,1599,1551,825
"","W01000014: Cyngar ",1115,1030,941,1258,1203,602,1042,777,750
"","W01000015: Gwyngyll ",1758,1688,1673,1117,1798,722,1724,1734,1187
"","W01000016: Holyhead Town ",246,317,183,557,312,1894,27,733,88
"","W01000017: Kingsland ",377,327,456,346,418,1411,241,658,242
"","W01000018: Llanbadrig ",890,767,782,1125,771,882,1261,761,500
"","W01000019: Llanbedrgoch ",1318,1382,1221,1038,1147,403,1308,1255,1253
"","W01000020: Llanddyfnan ",1335,1540,1327,1641,1554,159,1571,1459,295
"","W01000021: Llaneilian ",826,1014,861,1204,861,84,1303,1617,617
"","W01000022: Llanfaethlu ",953,1090,1022,1309,1118,142,1074,1766,293
"","W01000023: Llanfair-yn-Neubwll 1 ",878,927,1022,977,894,250,1222,1739,225
"","W01000024: Llanfair-yn-Neubwll 2 ",1058,1129,1221,1221,949,276,1253,1486,286
"","W01000025: Llanfihangel Ysgeifiog ",1121,1271,1327,1370,974,319,1334,752,226
"","W01000026: Llangoed ",986,1011,1221,875,1096,168,1305,1893,544
"","W01000027: Llanidan ",736,957,941,754,938,258,830,1379,63
"","W01000028: Llannerch-y-medd ",644,772,861,1026,812,85,824,1723,120
"","W01000029: London Road ",341,336,522,510,341,1444,334,88,54
"","W01000030: Maeshyfryd ",320,303,295,372,337,1497,316,835,220
"","W01000031: Mechell ",773,846,861,1042,937,121,1639,889,443
"","W01000032: Moelfre ",932,987,941,1169,735,329,1476,1664,364
"","W01000033: Morawelon ",146,141,120,376,228,1059,277,799,37
"","W01000034: Parc a'r Mynydd ",1066,1060,941,1017,1101,503,1154,1596,517
