,LSOA Code,LSOA Name.x,Local Authority Name,WIMD 2019,WIMD 2014 (r),WIMD 2011 score,from14to19,from11to14,from11to19,Of interest
1292,W01001330,Aber Valley 1,Caerphilly,22.63820812,22.19088229,24.93213609,0.44732583,-2.741253802,-2.293927972,
1293,W01001331,Aber Valley 2,Caerphilly,24.59133406,27.78708566,32.26161192,-3.1957516,-4.474526264,-7.670277864,
1294,W01001332,Aber Valley 3,Caerphilly,34.91720193,35.07991979,37.39638357,-0.16271786,-2.316463782,-2.479181642,
1295,W01001333,Aber Valley 4,Caerphilly,34.27799052,33.53575411,34.77286648,0.74223641,-1.237112369,-0.494875959,
416,W01000426,Aber-craf,Powys,17.97792851,19.16554809,20.26456281,-1.18761958,-1.099014721,-2.286634301,
486,W01000506,Aberaeron,Ceredigion,13.32613332,10.70976228,10.74188627,2.61637104,-0.032123993,2.584247047,
1102,W01001137,Aberaman North 1,Rhondda Cynon Taf,30.66953633,29.2789108,35.43297137,1.39062553,-6.154060567,-4.763435037,
1103,W01001138,Aberaman North 2,Rhondda Cynon Taf,40.17098074,35.91482731,30.68410499,4.25615343,5.230722325,9.486875755,
1104,W01001139,Aberaman North 3,Rhondda Cynon Taf,20.01540237,22.73731217,25.80847825,-2.7219098,-3.071166078,-5.793075878,
1105,W01001140,Aberaman South 1,Rhondda Cynon Taf,32.00352905,32.45318461,34.42905524,-0.44965556,-1.975870626,-2.425526186,
1106,W01001141,Aberaman South 2,Rhondda Cynon Taf,37.6257707,39.49152997,43.78645633,-1.86575927,-4.294926359,-6.160685629,
1107,W01001142,Aberaman South 3,Rhondda Cynon Taf,40.1369058,42.37465308,47.57301341,-2.23774728,-5.198360325,-7.436107605,
851,W01000883,Aberavon 1,Neath Port Talbot,10.90443658,9.230491964,10.39922849,1.673944616,-1.168736524,0.505208092,
852,W01000884,Aberavon 2,Neath Port Talbot,50.30322998,46.55608092,45.84576241,3.74714906,0.710318507,4.457467567,
853,W01000885,Aberavon 3,Neath Port Talbot,49.4213322,48.43566344,52.14336765,0.98566876,-3.707704213,-2.722035453,
854,W01000886,Aberavon 4,Neath Port Talbot,63.08163034,56.53052934,61.30416713,6.551101,-4.773637787,1.777463213,
1287,W01001325,Aberbargoed 1,Caerphilly,34.55818266,41.74201434,45.28497506,-7.18383168,-3.542960719,-10.7267924,
1288,W01001326,Aberbargoed 2,Caerphilly,45.30997729,43.94694183,46.73589249,1.36303546,-2.788950658,-1.425915198,
1289,W01001327,Abercarn 1,Caerphilly,16.46433792,14.868119,16.67857069,1.59621892,-1.810451686,-0.214232766,
1290,W01001328,Abercarn 2,Caerphilly,22.43651685,20.08283203,24.23804583,2.35368482,-4.155213803,-1.801528983,
1291,W01001329,Abercarn 3,Caerphilly,22.3913867,22.48660178,22.40237709,-0.09521508,0.08422469,-0.01099039,
1108,W01001143,Abercynon 1,Rhondda Cynon Taf,17.22245577,18.36660733,19.05439396,-1.14415156,-0.687786629,-1.831938189,
1109,W01001144,Abercynon 2,Rhondda Cynon Taf,65.44078665,65.45531625,65.4685546,-0.0145296,-0.013238352,-0.027767952,
1110,W01001145,Abercynon 3,Rhondda Cynon Taf,28.03350016,29.58069764,35.68361324,-1.54719748,-6.102915604,-7.650113084,
1111,W01001146,Abercynon 4,Rhondda Cynon Taf,15.87774891,13.95314241,15.58746072,1.9246065,-1.634318312,0.290288188,
1112,W01001147,Aberdare East 1,Rhondda Cynon Taf,18.54628052,16.21820202,14.84493691,2.3280785,1.373265108,3.701343608,
1113,W01001148,Aberdare East 2,Rhondda Cynon Taf,25.86933954,22.62537793,23.44444688,3.24396161,-0.819068947,2.424892663,
